NHPD Property ID,HUD Property Id,Property Name,Property Address,City,State,Zip Code,Total Units,Total Active Subsidies,Property Status,Total Inconclusive Subsidies,Total Inactive Subsidies,Earliest Start Date,Latest End Date,Earliest End Date,Latitude,Longitude,County,County Code,Congressional District,CBSA Type,CBSA ?ode,Census Tract,Manager Name,Manager Type,Owner Name,Owner Type,Occupancy Rate,Average Months of Tenancy,Earliest Construction Date,Latest Construction Date,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,REAC Score 1,Last REAC Date,REAC Score 2,REAC Date 2,REAC Score 3,REAC Date 3,Fair Market Rent,Percent of ELI Households,Target Tenant Type
d13f442a-ceff-e611-8115-74d435edc0c2,,WEST PHILADELPHIA REAL ESTATE II,3728 Wallace St,Philadelphia,PA,19104,40,1,Active,0,0,01/01/2011,01/01/2041,01/01/2041,39.9645,-75.197,Philadelphia,42101,02,Metropolitan,37980,42101010800,,,WEST PHILADELPHIA REAL ESTATE,For Profit,,,,,4,15,21,,,,,,,1266,,Family
cc52c2b8-cdff-e611-8115-74d435edc0c2,,CLOISTERS,3841 SPRING GARDEN ST,PHILADELPHIA,PA,19104,65,0,Inconclusive,1,0,01/01/1992,01/01/2022,01/01/2022,39.962352,-75.198135,Philadelphia,42101,02,Metropolitan,37964,42101010800,,,PENNROSE PROPERTIES,For Profit,,,,,57,7,1,,,,,,,1266,,Family
2afc276b-cdff-e611-8115-74d435edc0c2,800246663,MANTUA GARDENS EAST,32ND ST & HAVERFORD AVE,PHILADELPHIA,PA,19104,22,1,Active,0,2,06/01/1972,12/31/2037,12/31/2037,39.96468,-75.18904,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010900,JLD PROPERTY MANAGEMENT GROUP INC,Profit Motivated,JLD PROPERTY MANAGEMENT GROUP INC,Multiple,,,,,,7,,63c*,3/9/2011,63c*,3/9/2011,63c*,3/9/2011,1266,,
d008610c-ceff-e611-8115-74d435edc0c2,,MANTUA PHASE I,3502 Fairmount Ave,Philadelphia,PA,19104,50,1,Active,0,0,11/29/2010,,,39.96608,-75.1935,Philadelphia,42101,02,Metropolitan,37980,42101010900,Philadelphia Housing Authority,Public Entity,Philadelphia Housing Authority,Public Entity,,,01/01/2010,01/01/2010,,,,,,,,,,1266,,
2932414e-ceff-e611-8115-74d435edc0c2,800222774,MANTUA PRESBYTERIAN APARTMENTS,618 N 34th St,Philadelphia,PA,19104,65,2,Active,0,0,08/30/2009,09/30/2048,08/30/2019,39.96435,-75.19166,Philadelphia,42101,02,Metropolitan,37980,42101010900,MANTUA PRESBYTERIAN APTS,Non-Profit,MANTUA PRESBYTERIAN APTS,Non-Profit,99,66,01/01/2006,01/01/2006,65,0,0,,,,,,,1266,73,Elderly
f931414e-ceff-e611-8115-74d435edc0c2,,,4217 W Girard Ave,Philadelphia,PA,19104,3,0,Inactive,0,1,09/18/1995,09/18/2000,09/18/2000,39.97369,-75.21075,Philadelphia,42101,,,,42101011000,,,GIRARD AFFORDABLE HOUSING,,,,,,,,,,,,,,,1266,,
3a0bb5ca-cdff-e611-8115-74d435edc0c2,800246459,BRANTWOOD LL,4144 PARKSIDE AVE,PHILADELPHIA,PA,19104,16,2,Active,0,1,01/01/1998,10/31/2037,01/01/2029,39.975925,-75.208892,Philadelphia,42101,02,Metropolitan,37964,42101011000,PENNROSE MANAGEMENT COMPANY,Profit Motivated,BRANTWOOD ASSOCIATES,Multiple,,,,,14,2,0,,,,,,,1266,,Family
f131414e-ceff-e611-8115-74d435edc0c2,,,4215 W Girard Ave,Philadelphia,PA,19104,3,0,Inactive,0,1,09/18/1995,09/18/2000,09/18/2000,39.97369,-75.21075,Philadelphia,42101,,,,42101011000,,,GIRARD AFFORDABLE HOUSING,,,,,,,,,,,,,,,1266,,
d2eff355-d868-e711-806a-005056ba3ab9,,BELMONT AFFORDABLE HOUSING,4221 W Girard Ave,Philadelphia,PA,19104-1012,17,1,Active,0,0,01/01/1998,01/01/2028,01/01/2028,39.97369,-75.21075,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,TJ PROPERTIES INC,,,,,,0,5,12,,,,,,,1266,,Family
41f0e962-d968-e711-806a-005056ba3ab9,,CLOVER AFFORDABLE HOUSING,4231 W Girard Ave,Philadelphia,PA,19104-1012,11,1,Active,0,0,01/01/1995,01/01/2025,01/01/2025,39.97369,-75.21075,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,TJ PROPERTIES INC,,,,,,0,3,8,,,,,,,1266,,Family
f28fbbbe-cdff-e611-8115-74d435edc0c2,,GIRARD AFFORDABLE HOUSING,4209 W Girard Ave,Philadelphia,PA,19104-1012,9,0,Inconclusive,1,2,01/01/1995,,,39.97369,-75.21075,Philadelphia,42101,02,Metropolitan,37980,,,,TJ PROPERTIES INC,For Profit,,,,,0,3,6,,,,,,,,,Family
4741bec4-cdff-e611-8115-74d435edc0c2,,PUGH AFFORDABLE HOUSING,4214 W Girard Ave,Philadelphia,PA,19104-1013,9,1,Active,0,0,01/01/1996,01/01/2026,01/01/2026,39.97319,-75.20979,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,TJ PROPERTIES INC,For Profit,,,,,,1,8,,,,,,,1266,,Family
3f43bec4-cdff-e611-8115-74d435edc0c2,,WALNUT / THOMPSON HOUSING,4230 W Thompson St,Philadelphia,PA,19104-1026,35,1,Active,1,0,01/01/1997,01/01/2027,09/30/2018,39.97457,-75.21134,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,COLUMBUS PROPERTY MGMT,Non-Profit,,,,,35,,,,,,,,,1266,,Elderly or disabled
94d6a5d6-cdff-e611-8115-74d435edc0c2,,PARKSIDE PRESERVATION PROJECT,4106 Parkside Ave,Philadelphia,PA,19104-1081,82,1,Active,0,0,01/01/2003,01/01/2033,01/01/2033,39.97557,-75.20775,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,COLUMBUS PROPERTY MGMT,Non-Profit,,,,,68,12,2,,,,,,,1266,,Mixed
9e2ee99a-cdff-e611-8115-74d435edc0c2,,LANSDOWNE APARTMENTS,4100 Parkside Ave,Philadelphia,PA,19104-1097,19,0,Inactive,0,1,04/01/1973,03/01/2013,03/01/2013,39.97501,-75.2071,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101011000,,,,,,,,,,,,,,,,,,1266,,
cf0fd9a6-cdff-e611-8115-74d435edc0c2,,3853 CAMBRIDGE ST,3853 Cambridge St,Philadelphia,PA,19104-1104,2,0,Inconclusive,1,0,01/01/1989,01/01/2019,01/01/2019,39.97395,-75.20055,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,BENJAMIN FREEMAN,For Profit,,,,,,1,1,,,,,,,1266,,Family
c70fd9a6-cdff-e611-8115-74d435edc0c2,,3850 W GIRARD AVE,3850 W Girard Ave,Philadelphia,PA,19104-1107,3,0,Inconclusive,1,0,01/01/1989,01/01/2019,01/01/2019,39.97423,-75.20059,Philadelphia,42101,02,Metropolitan,37980,42101011000,,,JULES SILVER,For Profit,,,,,,3,,,,,,,,1266,,Family
6539add0-cdff-e611-8115-74d435edc0c2,,BELMONT AFFORDABLE HOUSING III,1035 Belmont Ave,Philadelphia,PA,19104-1211,44,1,Active,0,0,01/01/2003,01/01/2033,01/01/2033,39.97189,-75.21161,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,TJ PROPERTIES INC,For Profit,,,,,,2,42,,,,,,,1266,,Family
31db9ddc-cdff-e611-8115-74d435edc0c2,,BELMONT AFFORDABLE HOUSING VI,4219 Pennsgrove St,Philadelphia,PA,19104-1239,40,1,Active,0,0,01/01/2007,01/01/2037,01/01/2037,39.97061,-75.20937,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,TJ PROPERTIES INC,For Profit,,,,,,1,39,,,,,,,1266,,Family
dee2365f-cdff-e611-8115-74d435edc0c2,800018786,PINN GARDENS,900 Belmont Ave,Philadelphia,PA,19104-1250,40,1,Active,0,0,02/01/1999,01/31/2039,01/31/2039,39.9699,-75.21166,Philadelphia,42101,02,Metropolitan,37980,42101010500,SHELTER ASSOCIATES INC,Profit Motivated,PINN GARDENS INC,Non-Profit,97,100,01/01/1997,01/01/1997,39,,,67c*,5/13/2016,67c*,5/13/2016,86b,1/7/2014,1266,78,Elderly
78d8a5d6-cdff-e611-8115-74d435edc0c2,,BELMONT AFFORDABLE HOUSING V,945 Belmont Ave,Philadelphia,PA,19104-1262,24,1,Active,0,0,01/01/2005,01/01/2035,01/01/2035,39.971,-75.21143,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,TJ PROPERTIES INC,For Profit,,,,,,,24,,,,,,,1266,,Family
e537bcfd-ca68-e711-806a-005056ba3ab9,800018911,STEPHEN SMITH TOWERS,1030 Belmont Ave,Philadelphia,PA,19104-1277,127,2,Active,0,0,11/03/2016,12/01/2051,11/02/2036,39.97227,-75.2121,Philadelphia,42101,02,Metropolitan,37980,42101010500,COMMUNITY PROPERTY MANAGEMENT INC,Profit Motivated,STEPHEN SMITH TOWERS APTS FOR THE ELDERLY INC,Non-Profit,95,81,01/01/1981,01/01/1981,120,0,0,98a,10/28/2015,98a,10/28/2015,87b,9/20/2012,1266,92,Elderly
a008610c-ceff-e611-8115-74d435edc0c2,,LUCIEN E BLACKWELL III,813 N Lex St,Philadelphia,PA,19104-1334,50,1,Active,0,0,12/31/2006,,,39.967019,-75.211733,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010500,Philadelphia Housing Authority,Public Entity,Philadelphia Housing Authority,Public Entity,,,01/01/2006,01/01/2006,,,,,,,,,,1266,,
d8d6a5d6-cdff-e611-8115-74d435edc0c2,,ANGELA COURT II,4400 Fairmount Ave,Philadelphia,PA,19104-1366,67,5,Active,0,0,01/01/2003,01/01/2038,09/17/2028,39.96441,-75.21084,Philadelphia,42101,02,Metropolitan,37980,42101010500,PHILADELPHIA HOUSING AUTHORITY,Public Entity,ST IGNATIUS NURSING HOME,Multiple,,,01/01/2002,01/01/2007,67,,,,,,,,,1266,,Elderly or disabled
7342bec4-cdff-e611-8115-74d435edc0c2,,JAMESON COURT,820 N 44th St,Philadelphia,PA,19104-1371,72,1,Active,0,0,01/01/1997,01/01/2027,01/01/2027,39.96787,-75.21132,Philadelphia,42101,02,Metropolitan,37980,42101010500,,,THE MICHAELS ORGANIZATION,For Profit,,,,,,24,48,,,,,,,1266,,Family
f70fd9a6-cdff-e611-8115-74d435edc0c2,,4217 HAVERFORD AVE,4217 Haverford Ave,Philadelphia,PA,19104-1421,2,0,Inconclusive,1,0,01/01/1989,01/01/2019,01/01/2019,39.9627,-75.2074,Philadelphia,42101,02,Metropolitan,37980,42101010600,,,INGERMAN GROUP,For Profit,,,,,,2,,,,,,,,1266,,Family
6a8dbbbe-cdff-e611-8115-74d435edc0c2,,WESTMINSTER AFFORDABLE HOUSING,898 N 42nd St,Philadelphia,PA,19104-1471,12,2,Active,0,0,01/01/1993,01/01/2024,01/01/2023,39.96886,-75.20826,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,TJ PROPERTIES INC,For Profit,,,,,2,11,0,,,,,,,1266,,Family
5cd7a5d6-cdff-e611-8115-74d435edc0c2,,BELMONT AFFORDABLE HSNG IV,878 N 41st St,Philadelphia,PA,19104-1504,7,0,Inconclusive,1,1,01/01/2004,,,39.96963,-75.2062,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010700,,,,For Profit,,,,,,,,,,,,,,1266,,
a86c8de8-cdff-e611-8115-74d435edc0c2,,PHILADELPHIA,4046 Ogden St,Philadelphia,PA,19104-1543,36,0,Inactive,0,1,09/26/2006,09/26/2011,09/26/2011,39.96909,-75.20516,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010700,,,4046 OGDEN STREET,,,,,,,,,,,,,,,1266,,
51c02e65-cdff-e611-8115-74d435edc0c2,800226244,OGDEN GARDENS,4033 Ogden St,Philadelphia,PA,19104-1558,4,1,Active,0,0,06/01/2017,05/31/2051,05/31/2051,39.96953,-75.20486,Philadelphia,42101,02,Metropolitan,37980,42101010700,COLUMBUS PROPERTY MANAGEMENT DEVELOPMENT INC,Non-Profit,ALAW OGDEN GARDENS INC,Non-Profit,,,01/01/2009,01/01/2009,4,,,,,,,,,1266,,Disabled
e341bec4-cdff-e611-8115-74d435edc0c2,,ASPEN-OLIVE RESIDENCE,3602A Aspen St,Philadelphia,PA,19104-1620,22,0,Inconclusive,1,0,01/01/1997,01/01/2027,01/01/2027,39.96683,-75.19628,Philadelphia,42101,02,Metropolitan,37980,42101010800,,,PENNROSE PROPERTIES,For Profit,,,,,,,22,,,,,,,1266,,Family
757c96e2-cdff-e611-8115-74d435edc0c2,,ASPEN / OLIVE / SPENCER'S PLACE,3902 Aspen St,Philadelphia,PA,19104-1640,21,1,Active,0,0,05/14/2001,05/14/2021,05/14/2021,39.96632,-75.20073,Philadelphia,42101,02,Metropolitan,37980,42101010800,,,ASPEN-OLIVE ASSOCIATES,,,,,,,,,,,,,,,1266,,
b9da9ddc-cdff-e611-8115-74d435edc0c2,,POWELTON HEIGHTS,4143 Warren St,Philadelphia,PA,19104-1719,48,2,Active,0,0,01/01/2006,01/01/2036,01/31/2027,39.96508,-75.20643,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010600,,,COLUMBUS PROPERTY MGMT,Non-Profit,,,,,48,,,,,,,,,1266,,Mixed
29db9ddc-cdff-e611-8115-74d435edc0c2,,ASPEN HOUSING II,4022 Aspen St,Philadelphia,PA,19104-1741,22,1,Active,0,0,01/01/2007,01/01/2037,01/01/2037,39.966,-75.20369,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,DARRYL MCCORMICK,For Profit,,,,,,2,20,,,,,,,1266,,Family
ad36add0-cdff-e611-8115-74d435edc0c2,,BELMONT GARDENS,754 N 41st St,Philadelphia,PA,19104-1742,27,1,Active,0,0,01/01/2001,01/01/2031,01/01/2031,39.96648,-75.20567,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,FRIENDS REHABILITATION PROGRAM INC,Non-Profit,,,,,1,10,16,,,,,,,1266,,Mixed
54d7a5d6-cdff-e611-8115-74d435edc0c2,,BELMONT AFFORDABLE HOUSING IV,742 N 41st St,Philadelphia,PA,19104-1742,11,1,Active,0,1,01/01/2004,01/01/2034,01/01/2034,39.96648,-75.20567,Philadelphia,42101,02,Metropolitan,37980,42101010700,,,TJ PROPERTIES INC,For Profit,,,,,0,3,8,,,,,,,1266,,Family
166d8de8-cdff-e611-8115-74d435edc0c2,,IMANI IV,4042 Green St,Philadelphia,PA,19104-1758,8,1,Active,0,0,10/23/2007,10/23/2022,10/23/2022,39.962,-75.20332,Philadelphia,42101,02,Metropolitan,37980,42101009200,,,IMANI IV,,,,,,,,,,,,,,,1266,,
ce6c8de8-cdff-e611-8115-74d435edc0c2,,PEC IMANI HOMES II/REHAB,4037 Green St,Philadelphia,PA,19104-1759,6,1,Active,0,0,07/31/2003,07/31/2018,07/31/2018,39.96234,-75.20347,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101009200,,,PEOPLES EMERGENCY CENTER,,,,,,,,,,,,,,,1266,,
30917e76-cc68-e711-806a-005056ba3ab9,,FATTAH HOMES,612 N 40th St,Philadelphia,PA,19104-1804,6,1,Active,0,0,11/01/2011,11/01/2031,11/01/2031,39.96374,-75.20256,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010700,,,PEOPLE'S EMERGENCY CENTER CDC,,,,,,,,,,,,,,,1266,,
5ddb9ddc-cdff-e611-8115-74d435edc0c2,,CLOISTERS III,3900 Haverford Ave,Philadelphia,PA,19104-1847,50,1,Active,0,0,01/01/2007,01/01/2037,01/01/2037,39.96292,-75.19987,Philadelphia,42101,02,Metropolitan,37980,42101010800,,,PEOPLES EMERGENCY CENTER,Non-Profit,,,,,6,19,25,,,,,,,1266,,Family
d808610c-ceff-e611-8115-74d435edc0c2,,MANTUA PHASE II,3516 Fairmount Ave,Philadelphia,PA,19104-1907,51,1,Active,1,0,07/25/2011,,,39.96602,-75.19369,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101010900,Philadelphia Housing Authority,Public Entity,Philadelphia Housing Authority,Public Entity,,,01/01/2011,01/01/2011,,,,,,,,,,1266,,
6d3e442a-ceff-e611-8115-74d435edc0c2,,,3528 Fairmount Ave,Philadelphia,PA,19104-1907,80,0,Inactive,0,1,,,,39.96609,-75.19421,Philadelphia,42101,02,Metropolitan,37980,42101010900,,,Philadelphia Housing Authority,,,,,,,,,,,,,,,1266,,
66a5e1a0-cdff-e611-8115-74d435edc0c2,,635 N 35TH ST,635 N 35th St,Philadelphia,PA,19104-1943,1,0,Inconclusive,1,1,01/01/1987,01/01/2018,01/01/2018,39.96482,-75.19301,Philadelphia,42101,02,Metropolitan,37980,42101010900,,,JAMES LIPSCHUTZ REAL ESTATE,For Profit,,,,,,,1,,,,,,,1266,,Family
ec73b403-cb68-e711-806a-005056ba3ab9,800018498,HAVERFORD HOUSE,3416 Haverford Ave,Philadelphia,PA,19104-1954,28,3,Active,0,1,04/01/2011,03/01/2052,11/30/2036,39.96393,-75.19186,Philadelphia,42101,02,Metropolitan,37980,42101010900,MBA EQUITIES LTD,Profit Motivated,3416 ASSOCIATES LP,Profit Motivated,99,70,01/01/1980,01/01/1980,19,4,0,60c,7/14/2016,60c,7/14/2016,74c*,5/13/2015,1266,86,Family
617531c4-cc68-e711-806a-005056ba3ab9,800222564,MELON SUPPD INDEP LVG 5366,3616 Melon St,Philadelphia,PA,19104-1978,10,1,Active,0,1,09/17/2008,09/30/2047,09/30/2047,39.96521,-75.19568,Philadelphia,42101,02,Metropolitan,37980,42101010800,COLUMBUS PROPERTY MANAGEMENT DEVELOPMENT INC,Non-Profit,MELON I CORPORATION,Non-Profit,,,01/01/2005,01/01/2005,10,0,0,48c,7/8/2016,48c,7/8/2016,81b,2/12/2014,1266,,Disabled
3cf0798f-d668-e711-806a-005056ba3ab9,800018689,MOUNT VERNON MANOR,3311 Wallace St,Philadelphia,PA,19104-2047,75,1,Active,1,0,01/01/2015,12/31/2034,12/31/2034,39.96545,-75.19053,Philadelphia,42101,02,Metropolitan,37980,42101010900,MULTIFAMILY MANAGEMENT OF PHILADELPHIA LLC,Limited Dividend,MT VERNON LP,Profit Motivated,95,124,01/01/1996,01/01/1996,8,39,7,96a*,9/18/2017,92c*,10/30/2013,92c*,10/30/2013,1266,87,Family
7d9d7df4-cdff-e611-8115-74d435edc0c2,,SCATTERED SITES,3411 Spring Garden St,Philadelphia,PA,19104-2068,467,1,Active,0,0,12/31/1968,,,39.96309,-75.19199,Philadelphia,42101,02,Metropolitan,37980,42101010900,PHILADELPHIA HOUSING AUTHORITY,Public Entity,Philadelphia Housing Authority,Public Entity,,,01/01/1953,01/01/1983,,,,,,,,,,1266,,
b59c7df4-cdff-e611-8115-74d435edc0c2,,WESTPARK APARTMENTS,300 N Busti St,Philadelphia,PA,19104-2145,327,1,Active,0,0,06/30/1964,,,39.95878,-75.20942,Philadelphia,42101,02,Metropolitan,37980,42101009200,PHILADELPHIA HOUSING AUTHORITY,Public Entity,Philadelphia Housing Authority,Public Entity,,,01/01/1964,01/01/1964,,,,,,,,,,1266,,
6e3dc9b2-cdff-e611-8115-74d435edc0c2,,4114 POWELTON AVE,4114 Powelton Ave,Philadelphia,PA,19104-2209,3,0,Inconclusive,1,1,01/01/1991,01/01/2021,01/01/2021,39.95862,-75.20593,Philadelphia,42101,02,Metropolitan,37980,42101009200,,,ORENS BROTHERS REAL ESTATE INC,For Profit,,,,,1,2,,,,,,,,1266,,Family
db40bec4-cdff-e611-8115-74d435edc0c2,,IMANI HOMES,301 N 41st St,Philadelphia,PA,19104-2233,23,1,Active,0,0,01/01/1996,01/01/2026,01/01/2026,39.95929,-75.20496,Philadelphia,42101,02,Metropolitan,37980,42101009200,,,PEOPLES EMERGENCY CENTER,Non-Profit,,,,,1,11,11,,,,,,,1266,,
d063c523-d668-e711-806a-005056ba3ab9,,328 N HOLLY (IMANI),328 N Holly St,Philadelphia,PA,19104-2247,1,0,Inconclusive,1,0,,,,39.95957,-75.20597,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101009200,,,,,,,,,,,,,,,,,,1266,,
6223d2ac-cdff-e611-8115-74d435edc0c2,,POWELTON GARDENS,4000 Powelton Ave,Philadelphia,PA,19104-2260,25,0,Inconclusive,1,0,01/01/1989,01/01/2019,01/01/2019,39.95884,-75.20329,Philadelphia,42101,02,Metropolitan,37980,42101009200,,,ALAN KLEIN PROPERTIES,For Profit,,,,,12,10,3,,,,,,,1266,,
d054c2b8-cdff-e611-8115-74d435edc0c2,,CLOISTERS I,3813 Spring Garden St,Philadelphia,PA,19104-2380,45,0,Inconclusive,1,0,01/01/1993,01/01/2023,01/01/2023,39.96234,-75.19748,Philadelphia,42101,02,Metropolitan,37980,42101010800,,,PENNROSE PROPERTIES,For Profit,,,,,42,3,,,,,,,,1266,,Family
e4e3365f-cdff-e611-8115-74d435edc0c2,800018291,CENTER POST VILLAGE,55 N 40th St,Philadelphia,PA,19104-2623,84,1,Active,0,1,05/01/1973,02/28/2019,02/28/2019,39.95807,-75.20176,Philadelphia,42101,02,Metropolitan,37980,42101009100,Residential Life LLC,Profit Motivated,IS BEE STREET LLC,Profit Motivated,92,122,01/01/1972,01/01/1972,42,34,6,90c*,2/25/2016,90c*,2/25/2016,90c*,11/10/2010,1266,77,Family
